2.97004,2.84443,2.6589,2.49997,2.38235,2.29506,2.22865,2.17736,2.13746,2.10621,2.08152,2.06174,2.04562,2.03223,2.02087,2.01103,2.00235,1.99455,1.98744,1.98087,1.97474,
2.83238,2.62814,2.44641,2.30745,2.19969,2.1137,2.04466,1.98972,1.94646,1.91259,1.88608,1.8652,1.84856,1.8351,1.82401,1.8147,1.80675,1.79982,1.7937,1.78822,1.78323,
2.62465,2.42439,2.26305,2.13246,2.02326,1.93181,1.85679,1.79682,1.74989,1.71367,1.68591,1.66462,1.64821,1.63545,1.62542,1.61741,1.61094,1.60565,1.60125,1.59756,1.59443,
2.43367,2.25128,2.09852,1.96644,1.8513,1.75329,1.67282,1.60899,1.5597,1.52235,1.49439,1.4736,1.45821,1.44682,1.4384,1.43221,1.42768,1.4244,1.4221,1.42053,1.41956,
2.27083,2.0973,1.9449,1.80832,1.68752,1.58463,1.50068,1.43472,1.38443,1.34695,1.31951,1.29971,1.28563,1.2758,1.26911,1.26475,1.26214,1.26084,1.26055,1.26102,1.26209,
2.12554,1.95398,1.79928,1.65883,1.53442,1.42886,1.34323,1.27644,1.22599,1.18885,1.16212,1.14332,1.13044,1.12197,1.11675,1.11395,1.11294,1.11329,1.11467,1.11684,1.11963,
1.98946,1.81696,1.6602,1.51776,1.39195,1.28556,1.1995,1.13258,1.08225,1.04547,1.01931,1.00124,0.989242,0.981754,0.977608,0.975941,0.976125,0.9777,0.980333,0.983779,0.987856,
1.85822,1.68425,1.52679,1.38444,1.25911,1.15317,1.06737,1.00057,0.950309,0.913659,0.887733,0.870024,0.858497,0.851576,0.848074,0.847114,0.848055,0.850427,0.853891,0.858194,0.863152,
1.73056,1.55574,1.39927,1.25882,1.13532,1.03058,0.945289,0.878497,0.828035,0.791154,0.765074,0.747323,0.735866,0.729113,0.72586,0.725214,0.72652,0.729302,0.733209,0.737985,0.743443,
1.60762,1.433,1.27897,1.1417,1.02081,0.917516,0.832581,0.765458,0.714378,0.676853,0.650231,0.632073,0.620338,0.613415,0.610077,0.609413,0.610754,0.61361,0.617626,0.622541,0.628162,
1.49208,1.31856,1.16788,1.03438,0.916259,0.814193,0.729179,0.661234,0.609089,0.570553,0.543084,0.524256,0.511998,0.504663,0.500993,0.500054,0.501162,0.503819,0.507662,0.512427,0.517918,
1.38704,1.215,1.06788,0.938066,0.82234,0.720941,0.635257,0.565999,0.51246,0.472725,0.444309,0.42474,0.411881,0.404028,0.399888,0.398506,0.399185,0.401422,0.404852,0.409212,0.414306,
1.29501,1.12421,0.980175,0.853427,0.739382,0.637951,0.551041,0.480167,0.425196,0.38441,0.355275,0.335183,0.321882,0.313593,0.308989,0.3071,0.307231,0.308883,0.311701,0.315426,0.319874,
1.21736,1.04703,0.90515,0.780532,0.667342,0.56524,0.476766,0.404314,0.348288,0.307026,0.277781,0.257703,0.244372,0.235931,0.231025,0.228693,0.228257,0.229242,0.231313,0.23423,0.237823,
1.15432,0.983366,0.842467,0.718976,0.605896,0.502693,0.412625,0.33901,0.282696,0.241873,0.213393,0.194062,0.181266,0.17308,0.168153,0.165554,0.164648,0.164998,0.166302,0.168348,0.170988,
1.10523,0.932436,0.791343,0.66807,0.554544,0.450061,0.358643,0.284534,0.228874,0.189473,0.162616,0.144708,0.132958,0.12541,0.12075,0.118109,0.116908,0.116761,0.117406,0.118664,0.12041,
1.06893,0.893141,0.75078,0.626982,0.512662,0.406924,0.314536,0.240618,0.186426,0.149182,0.124505,0.108413,0.0979913,0.0913018,0.0871025,0.0846007,0.083286,0.082825,0.0829963,0.0836506,0.0846859,
1.04407,0.864267,0.71972,0.594823,0.479525,0.372658,0.279651,0.206404,0.154134,0.119352,0.0970021,0.0827757,0.0737005,0.0679,0.0642217,0.0619551,0.0606555,0.0600386,0.0599187,0.0601726,0.0607171,
1.02924,0.844618,0.697123,0.570686,0.454323,0.346461,0.253033,0.180612,0.130298,0.0978712,0.077656,0.0650934,0.0572041,0.0521924,0.0489969,0.0469829,0.0457627,0.0450929,0.0448171,0.0448325,0.0450703,
1.02316,0.833086,0.68201,0.553674,0.436195,0.32742,0.233576,0.161817,0.113148,0.08269,0.0642278,0.0530101,0.0460712,0.0416944,0.0388974,0.0371085,0.0359852,0.035316,0.0349668,0.0348501,0.0349079,
1.0246,0.828659,0.673474,0.542923,0.424272,0.314599,0.220178,0.148678,0.101126,0.0721109,0.0549584,0.044748,0.0385217,0.0346237,0.0321329,0.030525,0.0294915,0.0288444,0.0284657,0.0282791,0.0282342,
